Sample Name	GAPDH_CT		AGT_CT	Divided AGT	Delta	group	group2
Sample 7	20.50847	20.30677233	28.917809	1.424047531	8.611036667	Variant_T>C	VarC-bioRep1
Sample 7	20.222794		28.765049	1.416524917	8.458276667	Variant_T>C	VarC-bioRep1
Sample 7	20.189053		28.82333	1.419394945	8.516557667	Variant_T>C	VarC-bioRep1
Sample 8	19.441917	19.211434	28.251144	1.470538014	9.03971	Variant_T>C	VarC-bioRep2
Sample 8	19.173805		28.253824	1.470677514	9.04239	Variant_T>C	VarC-bioRep2
Sample 8	19.01858		28.207476	1.468264993	8.996042	Variant_T>C	VarC-bioRep2
Sample 9	20.385096	20.37553367	28.99572	1.423065549	8.620186333	Variant_T>C	VarC-bioRep3
Sample 9	20.425808		28.958109	1.421219659	8.582575333	Variant_T>C	VarC-bioRep3
Sample 9	20.315697		28.887114	1.417735333	8.511580333	Variant_T>C	VarC-bioRep3
Sample 4	20.680756	20.648706	27.904877	1.351410447	7.256171	WT	WT-bioRep1
Sample 4	20.733124		28.110245	1.361356252	7.461539	WT	WT-bioRep1
Sample 4	20.532238		28.073797	1.359591105	7.425091	WT	WT-bioRep1
Sample 5	19.6852	19.606077	27.723135	1.414007249	8.117058	WT	WT-bioRep2
Sample 5	19.68543		27.660967	1.410836395	8.05489	WT	WT-bioRep2
Sample 5	19.447601		27.644934	1.410018639	8.038857	WT	WT-bioRep2
Sample 6	20.555328	20.46337533	27.788359	1.357955789	7.324983667	WT	WT-bioRep3
Sample 6	20.46479		27.827862	1.359886214	7.364486667	WT	WT-bioRep3
Sample 6	20.370008		27.807676	1.358899768	7.344300667	WT	WT-bioRep3
